created,chargeTimeHrs,stationId,kwhTotal
42163,1.259722222,207262,2.2
42165,2.746111111,207262,3.76
42172,0.444722222,207262,1.29
42173,0.795833333,207262,1.9
42177,0.874444444,207262,1.94
42180,1.898611111,207262,3.55
42181,1.3225,207262,2.54
42191,1.505833333,207262,1.92
42192,0.88,207262,1.4
42192,0.926944444,207262,1.4
42193,1.841666667,207262,4.87
42199,3.6575,207262,6.95
42200,0.095,207262,0.19
42200,2.47,207262,6.56
42201,2.954444444,207262,3.92
42205,2.399722222,207262,6.27
42206,3.324722222,207262,6.88
42207,3.36,207262,5.5
42208,3.321666667,207262,5.04
42208,0.723055556,207262,1.37
42209,2.9575,207262,3.6
42213,3.117777778,207262,4.07
42214,3.695833333,207262,6.91
42216,3.383333333,207262,5.46
42219,2.174166667,207262,3.17
42220,2.265555556,207262,6.83
42220,1.552777778,207262,1.84
42221,3.541388889,207262,4.47
42221,0.388611111,207262,1.11
42222,0.943333333,207262,1.75
42223,4.183888889,207262,3.26
42226,2.683611111,207262,6.8
42228,2.406944444,207262,4.38
42228,1.569166667,207262,1.68
42230,2.8125,207262,6.69
42233,2.588055556,207262,6.76
42233,2.165833333,207262,2.9
42234,2.495833333,207262,3.27
42235,3.790555556,207262,4.92
42241,2.086944444,207262,6.42
42241,0.765833333,207262,1.94
42242,0.299166667,207262,0.84
42255,1.280555556,207262,1.66
42257,1.337777778,207262,3.33
42258,1.634166667,207262,3.35
42258,1.391111111,207262,3.89
42261,2.340833333,207262,1.46
42262,3.897777778,207262,4.12
42264,2.654722222,207262,4.24
42270,3.260277778,207262,1.41
42272,1.184444444,207262,2.24
42277,2.007222222,207262,4.54
42278,2.963611111,207262,4.02
42279,2.189166667,207262,4.33
42166,2.653055556,219054,6.89
42167,4.036944444,219054,6.78
42170,2.7225,219054,4.33
42171,1.957222222,219054,4.35
42173,2.715555556,219054,4.09
42177,2.842777778,219054,4.15
42178,1.788611111,219054,4.37
42179,2.093611111,219054,4.06
42180,3.337222222,219054,3.73
42181,2.185833333,219054,4.32
42184,1.790555556,219054,4.65
42185,1.703888889,219054,4.05
42186,3.006944444,219054,4.09
42187,1.712777778,219054,3.91
42191,1.6625,219054,4.38
42192,1.586944444,219054,4.17
42193,3.215,219054,6.61
42194,1.012222222,219054,3.16
42195,3.061111111,219054,4.18
42198,2.815555556,219054,6.43
42199,2.1725,219054,5.76
42200,3.178055556,219054,3.86
42201,2.443611111,219054,5.65
42202,2.297777778,219054,4.43
42205,2.271944444,219054,5.94
42207,2.7,219054,5.63
42208,2.957777778,219054,5.78
42212,3.179166667,219054,4.26
42213,3.388888889,219054,5.95
42214,3.687777778,219054,6.13
42216,2.046944444,219054,4.32
42219,3.085833333,219054,5.82
42220,3.505833333,219054,4.2
42221,2.795,219054,5.57
42222,3.166111111,219054,5.92
42223,1.830833333,219054,4.27
42226,2.398333333,219054,5.65
42227,2.683611111,219054,5.89
42228,3.323888889,219054,5.92
42229,1.638055556,219054,4.17
42230,2.051388889,219054,5.58
42233,2.457777778,219054,5.91
42234,2.754444444,219054,6.17
42235,3.290833333,219054,5.63
42236,3.043333333,219054,6.7
42237,1.724444444,219054,4.5
42240,1.959722222,219054,5.61
42241,1.929444444,219054,5.99
42243,2.7475,219054,6.58
42255,2.526111111,219054,6.67
42256,2.491944444,219054,6.7
42257,2.615277778,219054,6.69
42258,2.903333333,219054,6.91
42261,3.294722222,219054,6.9
42262,2.616944444,219054,6.66
42263,2.467222222,219054,6.7
42265,2.5475,219054,6.65
42268,1.951388889,219054,6.19
42272,2.843333333,219054,6.53
42275,2.129722222,219054,6.46
42276,2.647777778,219054,6.54
42278,1.121388889,219054,3.48
42279,3.403333333,219054,6.5
42208,9.006111111,219054,6.62
42088,0.043888889,228137,0.01
42080,5.386666667,228137,6.49
42087,0.021944444,228137,0
42095,2.312777778,228137,6.83
